actionName,resourceName,type,priority
UAV2Distance_to_next_WP,UAV2distance_to_waypoint,set,0
UAV2Manage_WP_Progress,UAV2WP_sequence,get,0
UAV2Land,UAV2WP_sequence,get,0
UAV2Manage_WP_Progress,UAV2WP_sequence,set,0
UAV2Manage_WP_Progress,UAV2WP_longitude_deg,set,0
UAV2Manage_WP_Progress,UAV2WP_latitude_deg,set,0
UAV2final_Sys_Check,UAV2vehicleId,get,0
UAV2final_Sys_Check,UAV2vehicleMissionId,get,0
UAV2final_Sys_Check,UAV2vehicleFinalFlightCheck,get,0
UAV2final_Sys_Check,UAV2vehicleFinalFlightCheck,set,0
UAV2Flight_Dynamics,UAV2vehicleId,get,0
UAV2Flight_Dynamics,UAV2vehicleMissionId,get,0
UAV2Land,UAV2vehicleId,get,0
UAV2Land,UAV2vehicleMissionId,get,0
UAV2Land,UAV2vehicleFinalFlightCheck,get,0
UAV2Manage_WP_Progress,UAV2vehicleId,get,0
UAV2preflight_Sys_Check,UAV2vehicleId,get,0
UAV2preflight_Sys_Check,UAV2vehicleMissionId,get,0
UAV2preflight_Sys_Check,UAV2vehicleAvailability,get,0
UAV2preflight_Sys_Check,UAV2vehiclePreflightCheck,get,0
UAV2preflight_Sys_Check,UAV2vehiclePreflightCheck,set,0
UAV2preflight_Sys_Check,UAV2vehicleDeadheadStatus,get,0
UAV2Takeoff,UAV2vehicleId,get,0
UAV2Takeoff,UAV2vehicleMissionId,get,0
UAV2Takeoff,UAV2longitude_deg,get,0
UAV2Takeoff,UAV2latitude_deg,get,0
UAV2Takeoff,UAV2longitude_deg,set,0
UAV2Takeoff,UAV2vehicleDeadheadStatus,get,0
UAV2Takeoff,UAV2vehicleDeadheadStatus,set,0
UAV2Land,UAV2vehicleDeadheadStatus,get,0
UAV2Land,UAV2vehicleDeadheadStatus,set,0
Aircraft1_fly,Aircraft1altitude_ft,set,0
Aircraft1_fly,Aircraft1indicatedairspeed_kts,set,0
Aircraft1_fly,Aircraft1trueairspeed_kts,set,0
Aircraft1_fly,Aircraft1groundspeed_kts,set,0
Aircraft1_fly,Aircraft1vspeed_fpm,set,0
Aircraft1_fly,Aircraft1heading_degtrue,set,0
Aircraft1_fly,Aircraft1bank_deg,set,0
Aircraft1_fly,Aircraft1pitch_deg,set,0
Aircraft1_fly,Aircraft1latitude_deg,set,0
Aircraft1_fly,Aircraft1longitude_deg,set,0
Aircraft1_fly,Aircraft1u_fps,set,0
